Knowledge Base Article Title	16-Mar	16-Feb	16-Jan	15-Dec	15-Nov	15-Oct	15-Sep	15-Aug	15-Jul	15-Jun	15-May	15-Apr	15-Mar	15-Feb	15-Jan	14-Dec	14-Nov	14-Oct	14-Sep	14-Aug	14-Jul	14-Jun	14-May	14-Apr	14-Mar	14-Feb	14-Jan	13-Dec	13-Nov	13-Oct	13-Sep	13-Aug	13-Jul	13-Jun	13-May	13-Apr	13-Mar	13-Feb	13-Jan	12-Dec	12-Nov	12-Oct	12-Sep	12-Aug	12-Jul	Total
SF Connect - News Releases	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
SF Connect - Volunteer Opportunities	0	0	2	0	1	1	1	2	3	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	1	1	0	0	2	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	23
SF Connect - Youth and Families	0	0	0	0	0	0	1	1	0	2	0	0	0	0	1	0	0	0	0	0	0	2	0	1	1	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	14
SF Path	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	2	0	1	0	0	1	0	1	3	6	15	12	6	5	9	5	7	4	9	6	16	3	6	5	4	4	0	135
SF Safe City	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4
SF Works - Non Profit providing resources to help workers save money.	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	9
SFFD Lockbox Program	0	0	0	0	1	1	0	0	0	0	0	0	0	8	1	0	1	0	0	0	0	0	1	0	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
SFGH - Eye Clinic (Repairs Glasses/Vision Exams for Low Income)	0	0	3	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	3	2	0	1	2	1	0	0	3	0	0	2	0	0	1	2	0	0	2	0	3	0	0	4	1	1	0	34
SFGH (SF General Hospital) Complaints	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	10	5	19	0	40
"SFGH Complaints (Relating to Physician, Nurse or Other Staff Care)"	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6
Sfgo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
SFGov TV	0	1	0	1	3	0	0	3	3	0	0	2	1	1	0	0	4	2	0	0	0	2	3	2	2	0	3	2	1	1	1	6	2	3	0	3	2	3	2	0	2	0	0	1	12	74
SFHA and Rental Assistance Demonstration (RAD)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	26	44	28	25	28	20	26	16	21	32	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349
SFMOMA  [San Francisco Museum Of Modern Art]	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	2	1	1	0	0	0	15
SFMTA -  Meter Shop (Parking Meters: Repairs)	0	0	0	0	0	10	17	24	5	4	9	7	12	9	16	4	3	20	6	12	8	6	3	8	13	4	4	3	2	6	9	6	1	3	4	5	2	3	10	3	0	5	0	5	0	271
SFMTA - 74X Culture Bus Route for Museums Information (pdf)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	5
SFMTA - Class Pass Program	0	3	1	0	0	2	0	0	0	0	1	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	17
SFMTA  Meetings	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	3	0	2	1	0	1	0	4	1	2	0	1	3	0	0	1	0	0	1	1	0	0	0	0	0	1	0	27
SFMTA - Red Transit Only Lanes for Muni Vehicles	0	33	10	6	4	5	8	22	13	38	14	19	25	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222
SFMTA - Requests for Reasonable Modification of Polices and/or Procedures	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
SFMTA Pass Sales at SFO - Information	0	1	0	1	0	2	2	0	2	2	5	0	3	1	1	1	2	2	5	1	2	2	5	1	2	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51
"SFMTA Service Cut Proposals, Fare Increases, Fee Adjustments"	0	0	2	1	0	0	4	0	3	12	2	0	2	0	0	1	1	1	3	14	4	2	4	5	3	1	4	2	0	0	0	0	0	10	6	0	0	1	0	0	0	0	0	0	0	88
SFMTA Taxi Fees	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	4	0	0	0	0	1	1	1	0	11
SFMTA Traffic and Muni Transit Information for Super Bowl 50	0	51	303	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	373
SFpark Parking Meter and Sensor - Parking sensor is loose (small white box)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	1	1	0	2	4	1	1	0	1	0	0	1	0	4	3	1	0	2	0	1	0	1	0	0	0	0	29
SFPark Parking Meter and Sensor Complaints and Comments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	4	1	1	1	0	0	1	1	2	1	0	1	0	3	0	0	0	1	2	2	0	1	0	0	4	1	0	0	32
SFPark Parking Meter and Sensor FAQs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	2	1	2	5	0	0	1	0	1	0	0	0	0	0	3	1	0	0	0	1	0	1	0	2	0	0	25
SFPark Parking Meter and Sensor History	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	2	3	0	1	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	16
SFPark Parking Meter and Sensor Media/Press Inquiries	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	1	1	0	0	0	0	0	0	0	0	10
SFpark Parking Meter and Sensor Pricing (Fees)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1	0	3	3	0	1	1	0	1	1	0	0	0	0	16
SFpark Parking Meters Information	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	14	26	11	10	11	8	8	14	16	10	3	12	8	5	13	19	12	19	12	14	10	3	5	8	4	4	7	5	0	300
SFPL Online - Library Catalog	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4
SFUSD - AMERICANS WITH DISABILITIES ACT OFFICE (ADA)	0	3	0	1	0	0	2	0	1	0	1	1	0	0	0	2	1	0	0	0	0	1	0	0	2	1	3	0	2	1	0	0	2	1	0	0	0	1	0	0	0	1	2	0	0	29
SFUSD - AMERICANS WITH DISABILITIES ACT OFFICE (ADA) - ACCESS GUIDE DIRECTORY	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	1	4	0	0	1	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	17
SFUSD - Audiological Assessments - Hearing acute test	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
SFUSD - Beacon Centers	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
SFUSD - Board of Education Overview	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	2	0	0	0	2	0	1	1	0	0	0	0	2	0	0	0	2	0	2	0	1	2	0	1	0	0	0	0	0	0	21
SFUSD - Budget and Position Management	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SFUSD - CHILD DEVELOPMENT PROGRAM COMPREHENSIVE SERVICES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SFUSD - Community Organizations	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SFUSD - District Emergency Management Plan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	7
SFUSD - Earthquake - Science	0	0	0	0	0	0	0	2	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
SFUSD - Earthquake History and Social Studies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
SFUSD - FIELD TRIP DOCUMENTS and INFORMATION	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SFUSD - Hazardous Material/Chemical Spill	0	1	0	1	0	3	0	0	0	0	1	0	0	0	0	0	1	2	1	2	1	0	2	0	0	0	4	0	0	4	0	0	1	1	0	0	4	0	0	0	0	0	0	1	0	30
SFUSD - Instructional Calendar	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"SFUSD - Instructions and Forms needed for Title IA, IIA, and IID"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
SFUSD - Medical Emergency	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
SFUSD - Multilingual Programs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"SFUSD - Occupational Therapy (OT), Physical Therapy (PT) and Adapted PE (APE)"	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4
SFUSD - Parent Organizations	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
SFUSD - Parents contacting the board members	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SFUSD - Physical Education Teachers	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"SFUSD - Private School Title IA , IIA and IID Programs"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
SFUSD - Professional Development Institutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SFUSD - Red Cross Emergency Shelters	0	0	2	1	0	0	0	0	3	1	1	0	0	0	0	4	0	0	0	0	0	2	2	2	1	0	3	1	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	28
SFUSD - School Advisory Committee (SAC)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
SFUSD - School board informing parents about board meetings	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	6
SFUSD - School board provide service to parents?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4
SFUSD - School Site Council (SSC)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SFUSD - Speech/Language Assessments Information	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
SFUSD - Street Directory/Maps	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9
SFUSD - Teaching and Learning	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	12
SFUSD - Title V Information	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SFUSD - Useful Links at the California Department of Education	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	12
SFUSD - USP Staff	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SFUSD - Vaccination Information	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5
SFUSD - Visual Impairment Assessments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SFUSD 2010-2011 Instructional Calendar (Furlough Days)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SFUSD Achievement Assessments Office	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SFUSD Bus and other transportation service	0	0	1	1	4	0	3	0	1	1	0	0	1	1	0	3	1	0	2	1	0	0	4	0	2	1	2	1	0	3	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	37
SFUSD Charter schools CITY ARTS/TECHNOLOGY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3
SFUSD Charter schools directory	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	12
SFUSD Charter schools FIVE KEYS CHARTER	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
SFUSD Charter schools GATEWAY CHARTER	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3
SFUSD Charter schools LEADERSHIP CHARTER	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10
SFUSD Charter schools LIFE LEARNING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
SFUSD Charter schools METROPOLITAN ARTS/TECHNOLOGY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
SFUSD City Sponsored Programs - Beacon Centers	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SFUSD City Sponsored Programs - SF Team	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
"SFUSD Community, County and Court Schools Campus List"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SFUSD county schools	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
SFUSD Emergency Plan - PREPAREDNESS MEASURES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
SFUSD Emergency Plan - RESPONSIBILITIES OF SITE PERSONNEL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
SFUSD Emergency Plan Overview	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SFUSD Emergency Plans Procedure - Civil Disturbance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3
SFUSD Emergency Plans Procedure - Earthquake	0	1	0	0	0	0	0	1	1	0	1	2	0	0	1	2	0	0	0	2	0	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	17
SFUSD Emergency Plans Procedure - Fire	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
SFUSD Emergency Plans Procedure - Utility Failure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2
SFUSD EQUITY ASSURANCE/CHARTER SCHOOLS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SFUSD Facilities Management Services	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4
SFUSD Facility Department	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
SFUSD Grants Development	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
SFUSD INFORMATION TECHNOLOGY DEPARTMENT - Forms	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
SFUSD INFORMATION TECHNOLOGY DEPARTMENT - Policy and procedure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	4
SFUSD INFORMATION TECHNOLOGY DEPARTMENT WAD NOTICES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3
SFUSD News and Events - Press releases	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	9
SFUSD Parent Relations - College Information	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
SFUSD Physical Education - Educational Codes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
SFUSD Physical Education - Fitness Testing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
SFUSD Prop H committee	0	0	0	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
SFUSD Pupil services	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	6
SFUSD Pupil services - California State Education Code	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3
SFUSD Pupil services - Dropout Prevention Office	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SFUSD Pupil services - Home-Based Schooling	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SFUSD Pupil services - Homeless Education	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
SFUSD Risk Management	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0	0	2	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	13
SFUSD SCHOOL SITE COUNCILS	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SFUSD SCHOOL SITE COUNCILS professional development	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
SFUSD SCHOOL SITE COUNCILS resources	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
SFUSD School to Career department - Forms and applications	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SFUSD School to Career department - Program	0	1	0	0	1	0	0	0	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
SFUSD School to Career department - Regional Occupational Program (ROP)	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
SFUSD School to Career department - Summer Intership Program	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2
SFUSD Screening and Assessment Center	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SFUSD Screening and Assessment Center - Counselors and Social Workers	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7
SFUSD Screening and Assessment Center - Psychologists	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"SFUSD Screening and Assessment Center - request an assessment, assessment referral"	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
SFUSD Screening and Assessment Center - Social Workers	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	11
SFUSD Screening and Assessment Center - Speech Pathologists	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
SFUSD Screening and Assessment Center FAQ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
